1981,1711.427306043184
1982,1351.9592840355808
1983,1383.6325411871007
1984,1667.58762848032
1985,1243.9020772986169
1986,1230.2193340379592
1987,1045.0117918067358
1988,1584.2341590230728
1989,1451.6916923966496
1990,1275.8534923002273
1991,1185.6417450901097
1992,1163.2488432065059
1993,1367.568497784902
1994,1049.9134733666563
1995,1667.7119949894718
1996,1586.678370897557
1997,1324.8276448638587
1998,1249.2646623750863
1999,1676.392752861982
2000,1428.070041634084
2001,1221.4210910812778
2002,1080.2762618322656
2003,1192.4706328175364
2004,1097.7736619712045
2005,1540.9023266361407
2006,1300.0249746534632
2007,1410.4832329439757
2008,1574.086362004224
2009,1077.965501197579
2010,1789.6506592818375
2011,1518.1785467664222
2012,1261.6686889174719
2013,1507.2388233811278
2014,1255.4322649438882
2015,958.682435220726
2016,1018.3594126645328
2017,1308.319772749999
